fpr,tpr,threshold
0.0,0.0,
0.006578947368421052,0.0,inf
0.006578947368421052,0.10416666666666667,0.5760500403146507
0.02631578947368421,0.10416666666666667,0.46348889760124534
0.02631578947368421,0.14583333333333334,0.44071196381550215
0.046052631578947366,0.14583333333333334,0.4184308669896223
0.046052631578947366,0.16666666666666666,0.38064211638770634
0.05263157894736842,0.16666666666666666,0.3710310771897383
0.05263157894736842,0.1875,0.37008780968736926
0.10526315789473684,0.1875,0.35670683563825917
0.10526315789473684,0.20833333333333334,0.3421971853490197
0.1118421052631579,0.20833333333333334,0.3413683544610588
0.1118421052631579,0.22916666666666666,0.33956898897399707
0.125,0.22916666666666666,0.3389916176472427
0.125,0.25,0.33703395451624407
0.14473684210526316,0.25,0.3368518098999883
0.14473684210526316,0.2708333333333333,0.33433487879289797
0.15789473684210525,0.2708333333333333,0.3333440737519989
0.15789473684210525,0.2916666666666667,0.3318952419823332
0.18421052631578946,0.2916666666666667,0.3306046293691357
0.18421052631578946,0.3125,0.32613450922917275
0.23026315789473684,0.3125,0.3253479255459119
0.23026315789473684,0.375,0.31976948054564036
0.23684210526315788,0.375,0.3125941466463256
0.23684210526315788,0.3958333333333333,0.3107260130769068
0.27631578947368424,0.3958333333333333,0.3097363501601866
0.27631578947368424,0.4166666666666667,0.2730347052715073
0.2894736842105263,0.4166666666666667,0.27207756227286845
0.2894736842105263,0.4375,0.27076478476291144
0.3092105263157895,0.4375,0.26959177012927976
0.3092105263157895,0.4791666666666667,0.2624727055611789
0.3223684210526316,0.4791666666666667,0.2598345702406186
0.3223684210526316,0.5,0.25414960581034973
0.3684210526315789,0.5,0.254115023991649
0.3684210526315789,0.5208333333333334,0.2261266641092177
0.375,0.5208333333333334,0.22354163460634938
0.375,0.5416666666666666,0.21835613773315005
0.39473684210526316,0.5416666666666666,0.21603604573866456
0.39473684210526316,0.6041666666666666,0.21466582266525489
0.42105263157894735,0.6041666666666666,0.20842011740058816
0.42105263157894735,0.625,0.20752809731691615
0.4342105263157895,0.625,0.2072385215154906
0.4342105263157895,0.6458333333333334,0.20242147510800143
0.4605263157894737,0.6458333333333334,0.20240794240820517
0.4605263157894737,0.6666666666666666,0.19925441214261042
0.5131578947368421,0.6666666666666666,0.19778316446780458
0.5131578947368421,0.6875,0.18831841888525394
0.5657894736842105,0.6875,0.18737333266393233
0.5657894736842105,0.7291666666666666,0.1787433393999718
0.5855263157894737,0.7291666666666666,0.1762234841968408
0.5855263157894737,0.75,0.16992341437361735
0.6644736842105263,0.75,0.16890358762468372
0.6644736842105263,0.7708333333333334,0.13270402689226457
0.756578947368421,0.7708333333333334,0.13164483946154384
0.756578947368421,0.7916666666666666,0.09363148094408986
0.7828947368421053,0.7916666666666666,0.09355231442069888
0.7828947368421053,0.8125,0.0700168508465633
0.868421052631579,0.8125,0.06579750885306715
0.868421052631579,0.8541666666666666,0.0609882771558656
0.875,0.8541666666666666,0.059201947275102765
0.875,0.875,0.05910495543828984
0.9013157894736842,0.875,0.05751863291372689
0.9013157894736842,0.8958333333333334,0.056027617947337155
1.0,1.0,0.05309232807523966
