fpr,tpr,threshold
0.0,0.0,
0.0,0.0051813471502590676,inf
0.0,0.33678756476683935,0.9999999897516147
0.14285714285714285,0.33678756476683935,0.9998395374351489
0.14285714285714285,0.8341968911917098,0.9997964832123277
0.2857142857142857,0.8341968911917098,0.9228013954932806
0.2857142857142857,0.8652849740932642,0.9159352099746041
0.42857142857142855,0.8652849740932642,0.9032606490182241
0.42857142857142855,0.8963730569948186,0.8909581644898951
0.5714285714285714,0.8963730569948186,0.8532492739478807
0.5714285714285714,0.9222797927461139,0.8468775560217229
0.7142857142857143,0.9222797927461139,0.8212426585566686
0.7142857142857143,0.9585492227979274,0.8124402297171098
0.8571428571428571,0.9585492227979274,0.7035263156231487
0.8571428571428571,0.9844559585492227,0.7007309436691059
1.0,0.9844559585492227,0.521685437772835
1.0,1.0,0.5119613945046985
