fpr,tpr,threshold
0.0,0.0,
0.012738853503184714,0.023255813953488372,inf
0.01910828025477707,0.046511627906976744,0.9774696707105719
0.03184713375796178,0.13953488372093023,0.9619883040935672
0.044585987261146494,0.13953488372093023,0.9233791748526521
0.05732484076433121,0.20930232558139536,0.8635170603674541
0.07006369426751592,0.20930232558139536,0.8576642335766423
0.09554140127388536,0.23255813953488372,0.8350253807106597
0.09554140127388536,0.2558139534883721,0.7833333333333333
0.10828025477707007,0.27906976744186046,0.7833333333333332
0.12738853503184713,0.32558139534883723,0.783333333333333
0.15286624203821655,0.3488372093023256,0.7305699481865284
0.18471337579617833,0.4418604651162791,0.7067669172932329
0.21019108280254778,0.4883720930232558,0.6844660194174759
0.22929936305732485,0.5116279069767442,0.6844660194174758
0.25477707006369427,0.5348837209302325,0.6438356164383562
0.2802547770700637,0.5348837209302325,0.607758620689655
0.33121019108280253,0.5581395348837209,0.5911949685534591
0.3375796178343949,0.6511627906976745,0.5465116279069768
0.35668789808917195,0.6511627906976745,0.4964788732394367
0.37579617834394907,0.6744186046511628,0.37600000000000006
0.4267515923566879,0.6744186046511628,0.3405797101449276
1.0,1.0,0.34057971014492755
